id,code
E2806995000040037921118E,0189
E28069150000501F39C5E5FE,0824
E28069150000401F70A450E5,0447
E28069150000501F39C8DA42,0455
E28069950000500379270C38,0232
E28069150000401F39C5D443,0615
E28069150000501F39C5EA9B,0620
E28069150000401F39C522AE,0641
E280699500004003792178B2,0305
E28069150000501F39C760E5,0724
E28069950000400379273102,0059
E28069950000400379274295,0394
E28069150000401F39C89942,0909
E28069150000401F39C9B17A,0838
E28069150000501F70A32C72,0974
E2806995000050037927326A,0047
E28069150000501F39C8A0A8,0545
E28069150000401F39C7B094,0847
E28069150000501F39C72837,1011
E28069150000501F39C681E8,0848
E28069150000401F39C609F8,1000
E28069150000401F39C8013D,0768
E28069150000401F39C549AA,1104
E28069150000401F39C5AE35,1024
E28069150000501F39C58447,0513
E2806995000040037921261C,0243
E28069150000501F39C48611,0674
E28069150000401F39C68C1D,0820
E28069150000401F70A10CDA,0654
E28069150000501F39C98D9C,0740
E28069150000401F39C4FE40,0822
E2806995000050037927090B,0015
E28069950000400379272D30,0084
E28069950000400379271C8C,0357
E28069950000500379272CAF,0381
E280699500004003792180A7,0063
E28069150000501F39C45A15,0885
E28069150000401F39C8A1AB,0696
E28069150000501F70A32CDB,1046
E28069150000501F39C4B9A9,0404
E2806995000040037927298A,0161
E28069150000501F39C594D6,1186
E28069950000500379272D04,0273
E28069950000400379273A5C,0134
E28069150000401F39C4B532,0452
E28069150000501F39C4F850,0590
E28069950000500379216D60,0023
E28069150000401F70A3792A,0698
E28069950000400379271CD3,0234
E28069150000501F39C4F4A9,1115
E28069150000501F70A3A985,0786
E28069150000401F39C44E22,0504
E28069150000401F70A45E66,0916
E28069950000400379271C75,0318
E28069150000401F39C6C5BC,0925
E28069150000401F70A2A632,0923
E28069150000401F39C9BD43,0650
E28069150000401F39C6447A,0509
E28069150000401F70A0ECE3,1051
E28069150000401F39C6943A,1084
E28069150000401F39C7D9A8,0424
E28069950000500379273182,0044
E28069150000501F39C4F29C,1150
E28069150000501F39C67D21,1200
E28069150000401F39C66CEC,0895
E28069150000401F39C500AE,0803
E28069950000400379270999,0152
E280699500004003792105B8,0035
E2806995000040037927216C,0350
E28069150000401F39C56136,0728
E28069950000400379271A85,0011
E28069150000401F39C495E7,0514
E28069950000500379211990,0349
E28069150000501F70A4A489,0866
E28069150000401F39C535AB,1167
E28069150000501F39C5D47B,1030
E28069150000501F70A469B8,1157
E28069150000501F70A210D0,0530
E28069950000500379271CF5,0125
E28069150000501F39C4554F,1099
E28069150000401F39C68688,1130
E28069150000401F39C491F8,1175
E280699500004003792711D4,0290
E28069150000401F39C4D8EB,1169
E280699500004003792709A3,0240
E28069950000500379270932,0165
E28069150000401F39C4E887,0670
E28069150000401F70A482B0,0647
E28069150000401F39C8BE33,0418
E28069150000401F39C53D5A,0976
E28069950000400379273CF5,0261
E280699500004003792719AD,0343
E280699500004003792734BA,0048
E280699500005003792721B9,0027
E28069150000401F70A4868B,0587
E28069150000401F39C5E559,0906
E28069150000501F70A4B085,1187
E28069950000500379272903,0215
E28069150000401F39C5E906,0553
E28069150000501F70A4AD91,0921
E28069150000501F39C4F558,0448
E28069150000401F39C520D2,0957
E280699500004003792189F7,0133
E28069150000401F70A48491,1126
E28069150000401F39C9D12C,0623
E2806995000040037921823C,0351
E28069950000500379218DF8,0104
E28069150000401F39C8F140,1028
E28069950000400379271CF8,0347
E28069150000401F39C8E9D3,0975
E28069150000501F70A32588,0671
E280699500005003792715C3,0205
E28069150000501F70A45475,0692
E28069150000401F39C58D3D,1003
E28069150000401F39C4C621,0802
E28069150000401F70A43575,0702
E28069150000401F39C6A089,0772
E28069150000401F39C67588,0945
E28069150000501F39C810A3,1070
E28069150000501F39C8EDFE,0779
E28069950000400379217E33,0182
